TelemetryCycle,OnBoardTime,Throttle1,Throttle2,Tachometer1,Tachometer2,Tachometer3,Tachometer4,MeasuredSpeed1,MeasuredSpeed2,MeasuredSpeed3,MeasuredSpeed4,SetpointSpeed1,SetpointSpeed2,StatusFlags
227,136985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
228,137385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
228,137585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
229,137985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
229,138185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
230,138585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
230,138785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
231,139185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
231,139385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
232,139785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
232,139985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
233,140385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
233,140585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
234,140985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
234,141185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
235,141585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
235,141785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
236,142185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
236,142385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
237,142785,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
237,142985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
238,143385,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
238,143585,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
239,143985,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
239,144185,0.0,0.0,4270,4667,0,1,0.0,0.0,0.0,0.0,500.0,0.0,2
